ltable_id,rtable_id
524,4380
524,5425
524,7891
1392,5424
1497,4380
1497,5425
1497,7891
1057,16392
1057,16417
1057,16688
1057,16735
1057,16993
1057,17269
1057,17593
1057,17594
1057,17646
1057,18512
1057,18545
116,1941
116,6679
116,11754
116,13615
343,1626
343,1941
343,6679
343,9174
343,11754
343,12298
343,13394
343,13615
343,19192
733,1626
733,1941
733,2544
733,6679
733,9174
733,11754
733,12298
733,13394
733,13615
733,19192
1084,1941
1084,6679
1084,11754
1084,12298
1084,13615
1281,1626
1281,1941
1281,6679
1281,9174
1281,11754
1281,12298
1281,13394
1281,13615
1281,19192
1597,1626
1597,1941
1597,6679
1597,9174
1597,11754
1597,12298
1597,13394
1597,13615
1597,19192
1601,1941
1601,13615
1601,19192
1685,11754
1735,1941
1735,6679
1735,11754
1735,12298
1735,13615
1763,1941
1763,6679
1763,11754
1763,13615
2108,1626
2108,1941
2108,6679
2108,11754
2108,12298
2108,13615
2140,1626
2140,1941
2140,6654
2140,6679
2140,9174
2140,11754
2140,12298
2140,13615
2212,1941
2212,6679
2212,11754
2212,12298
2212,13615
2425,1449
2425,1626
2425,1941
2425,4195
2425,4241
2425,6679
2425,11754
2425,11925
2425,12298
2425,13394
2425,14720
2425,21094
2425,21914
2500,1626
2500,1941
2500,6679
2500,9174
2500,11754
2500,12298
2500,13394
2500,13615
2500,19192
287,3923
293,11935
490,13895
557,13895
845,11935
845,13895
918,13895
1622,12537
1622,13895
2105,13895
2333,11935
338,2495
338,5061
338,7071
338,7899
338,10459
338,10464
338,11911
338,12469
338,13873
338,20654
724,4134
724,5061
724,7071
724,7942
724,8487
724,18942
724,19163
1166,3903
1166,5061
1166,5903
1166,7071
1166,7899
1166,10459
1166,10464
1166,11911
1166,11912
1166,12469
1166,12471
1166,13873
1166,20654
1529,1441
1529,5061
1529,7071
1529,7942
1529,8487
1529,18942
1594,4134
1594,5061
1594,7942
1595,4134
1595,5061
1595,7942
1595,18942
1734,5061
1734,8487
1734,18942
1734,19163
1781,5061
1781,8487
1781,18942
1781,19163
1784,5061
1784,7942
1918,2495
1954,2495
2045,3903
2045,11912
2045,12471
2045,21394
2551,5061
2551,7071
2551,18942
2551,19163
13,16687
13,16992
13,17980
13,18275
13,18543
1341,16992
1341,18275
1341,18543
1341,19147
1792,8494
36,993
36,994
36,2993
36,4907
36,4911
36,4912
36,6924
36,6925
36,6930
36,6931
36,8948
36,8953
36,10909
36,10937
36,12964
36,14863
156,993
156,994
156,2993
156,2994
156,4909
156,4911
156,4912
156,4913
156,6924
156,6925
156,6930
156,6931
156,8946
156,8948
156,8950
156,8953
156,10905
156,10909
156,12964
156,14863
232,993
232,2994
232,4907
232,4911
232,4912
232,6925
232,6930
232,6931
232,8946
232,8948
232,8950
232,8953
232,10905
232,10909
232,12964
232,14863
246,993
246,994
246,2993
246,4909
246,4911
246,4912
246,6924
246,6925
246,6930
246,6931
246,8946
246,8948
246,8950
246,8953
246,10905
246,10909
246,12964
246,14863
585,993
585,994
585,2993
585,2994
585,4909
585,4911
585,4912
585,6924
585,6925
585,6930
585,6931
585,8946
585,8948
585,8950
585,8953
585,10905
585,10909
585,12964
585,14863
677,993
677,994
677,2993
677,2994
677,4907
677,4909
677,4912
677,6924
677,6925
677,6930
677,6931
677,8946
677,8948
677,8950
677,8953
677,10905
677,10909
677,10937
677,12962
677,12964
677,14863
970,993
970,994
970,2993
970,2994
970,4909
970,4911
970,4912
970,6924
970,6925
970,6930
970,6931
970,8946
970,8948
970,8950
970,8953
970,10905
970,10909
970,12964
970,14863
1049,993
1049,994
1049,2993
1049,2994
1049,4909
1049,4911
1049,4912
1049,6924
1049,6925
1049,6930
1049,6931
1049,8946
1049,8948
1049,8950
1049,8953
1049,10905
1049,10909
1049,12964
1049,14863
1360,994
1360,6925
1360,6931
1360,8946
1360,8953
1360,10905
1360,10909
1987,993
1987,994
1987,2993
1987,4907
1987,4911
1987,4912
1987,6925
1987,6930
1987,6931
1987,8946
1987,8953
1987,10909
1987,14863
2027,993
2027,994
2027,2993
2027,2994
2027,4907
2027,4909
2027,4911
2027,4912
2027,6924
2027,6925
2027,6930
2027,6931
2027,8946
2027,8948
2027,8950
2027,8953
2027,10905
2027,10909
2027,12962
2027,12964
2027,14863
2231,993
2231,994
2231,2993
2231,2994
2231,4907
2231,4909
2231,4911
2231,4912
2231,6924
2231,6925
2231,6930
2231,6931
2231,8946
2231,8948
2231,8950
2231,8953
2231,10905
2231,10909
2231,10937
2231,12962
2231,12964
2231,12968
2231,14863
2487,993
2487,994
2487,2993
2487,2994
2487,4909
2487,4912
2487,6924
2487,6925
2487,6930
2487,6931
2487,8948
2487,8950
2487,8953
2487,10905
2487,10909
2487,10937
2487,12964
2487,14863
2487,16899
1337,6107
426,995
426,2998
426,6145
678,8962
2311,995
2311,2998
2311,6145
2311,6932
4,2645
4,6074
4,15410
4,16040
125,3471
125,6074
125,15410
125,16040
183,15410
230,19373
233,2111
233,6074
326,2111
326,16040
434,13418
434,15410
463,2645
463,3471
463,6074
463,19373
502,3471
502,10122
502,11424
502,11435
502,15410
570,3471
570,16040
609,2111
609,2645
609,6074
609,15410
652,2645
652,6074
652,6708
652,15410
687,20212
712,13419
760,2111
760,3471
760,6074
760,15410
760,19373
765,2111
765,2645
765,3471
765,6074
765,11424
765,11432
765,15410
765,15415
810,2645
810,19373
906,3469
906,5413
906,5415
906,6074
947,3471
947,19373
971,1478
971,2111
971,2645
971,6074
971,6075
971,9464
971,10122
971,11424
971,11432
971,11434
971,11440
971,11443
971,14050
971,15410
971,16040
975,11417
975,13422
982,2111
982,2645
982,6074
982,11433
982,13418
982,15410
982,16040
1011,1470
1011,1474
1011,3463
1011,3464
1011,6074
1011,7692
1011,9465
1011,13413
1011,15410
1011,16304
1011,19098
1011,20980
1011,21856
1045,2111
1045,15410
1045,16040
1119,2645
1119,3471
1119,4095
1119,6074
1119,7692
1119,11429
1119,11433
1119,11439
1119,13421
1119,13422
1119,16040
1119,19929
1119,20290
1119,21856
1407,1478
1407,2111
1407,2645
1407,3471
1407,6074
1407,6075
1407,7435
1407,8109
1407,9215
1407,9464
1407,13418
1407,15409
1407,15410
1407,16040
1407,16304
1407,19270
1407,20680
1407,20980
1407,21856
1409,2111
1409,3471
1409,19373
1438,2645
1438,6074
1438,7435
1438,13419
1486,2111
1486,2645
1486,13419
1519,2645
1519,6074
1519,7435
1519,15410
1521,1480
1521,3465
1521,5414
1521,5415
1521,9467
1521,11417
1521,13416
1521,14050
1536,3471
1536,11433
1536,11434
1573,2111
1573,5415
1573,13418
1589,2645
1589,11434
1654,2111
1654,13418
1837,2645
1837,3471
1837,6074
1837,15410
1837,16040
1897,11424
1897,15410
1897,16040
1898,2111
1898,7441
1898,15410
1945,3471
1945,15410
1953,5414
1953,6074
1953,9464
1953,11438
1953,15410
1962,2111
2039,6074
2039,7443
2039,13417
2039,15410
2039,19098
2039,19373
2163,8469
2163,13419
2185,11424
2185,15410
2208,2111
2208,3471
2208,6074
2208,10122
2208,11424
2208,15410
2319,19373
2350,2645
2350,6074
2350,15410
2350,19373
2448,2111
2448,3471
2448,13419
2449,2111
2449,3471
2449,6074
2449,19373
447,1193
447,2430
447,3881
447,3883
447,5887
447,9156
447,9941
447,11145
447,11398
447,15112
448,1193
448,2430
448,3881
448,3883
448,5887
448,9156
448,9941
448,11145
448,11398
448,13173
448,15112
1552,3881
1552,7166
1552,13173
1552,13174
2130,3881
2130,3883
2130,9155
2130,13173
2130,13174
495,13707
495,17827
495,19259
495,21208
495,21434
737,6765
737,8807
737,19259
973,109
973,21568
1103,12232
1103,18714
1771,19259
1816,235
1816,13707
1816,17494
1816,19259
1944,19259
2295,8801
2295,8807
2295,20764
750,6530
750,8592
750,10530
622,17424
622,17425
1015,17424
1015,17425
1345,17424
1345,17425
1419,17424
1419,17425
1528,17425
1528,17653
1850,17424
2256,256
2256,970
2256,971
2256,2968
2256,2970
2256,4881
2256,4882
2256,4883
2256,6115
2256,6865
2256,6903
2256,7857
2256,8195
2256,8319
2256,10793
2256,10877
2256,10878
2256,10879
2256,10884
2256,11147
2256,11148
2256,12907
2256,12930
2256,13091
2256,13563
2256,16019
2256,16249
2256,16323
2256,16540
2256,16600
2256,16844
2256,16877
2256,16915
2256,16916
2256,17115
2256,17140
2256,17192
2256,17193
2256,17194
2256,17421
2256,17422
2256,17423
2256,17425
2256,17511
2256,17512
2256,17653
2256,17746
2256,17747
2256,17841
2256,18072
2256,18106
2256,18359
2256,18361
2256,18394
2256,18451
2256,18452
2256,18453
2256,18454
2256,18989
2256,19025
2256,19544
2256,19584
2256,19585
2256,19843
2256,19844
2256,20146
2256,20970
2256,21206
2256,21269
2256,21451
2256,21558
309,2847
309,19291
309,21447
349,5988
425,5807
425,12085
1002,2092
1002,12085
1101,2092
1101,12085
1298,2847
1351,2092
1351,12085
1759,2092
1759,15769
1890,12827
1892,21878
2398,2092
2398,12085
75,12299
75,19492
111,7185
111,12299
111,19492
111,21050
111,21965
150,1209
150,5145
150,5146
150,21050
150,21719
482,5145
482,11152
482,12299
482,19492
549,5145
549,12299
549,19492
909,1209
909,5145
909,5146
909,21050
909,21719
909,21965
948,5145
948,12299
948,19492
1156,11152
1156,12299
1156,19492
1309,11152
1309,12299
1309,19492
1616,12299
1616,19492
1661,1537
1661,3193
1661,3196
1661,5145
1661,5146
1661,7185
1661,8896
1661,9171
1661,11152
1661,15131
1661,15133
1661,16368
1661,20760
1661,21966
2009,12299
2009,19492
2134,5145
2134,11405
2134,12299
2134,15133
2134,19492
2134,21050
2134,21965
2352,5145
2352,11152
2352,12299
2352,19492
379,614
379,8594
382,617
382,6534
382,17150
382,17698
382,20246
382,21122
643,614
643,616
643,2576
643,5574
643,6531
643,8594
643,10531
643,12587
643,14482
643,17698
643,18642
643,19783
643,19785
1827,17150
2395,17150
1263,19233
30,11088
782,7415
220,75
220,5993
220,8031
220,8033
220,12026
220,13975
220,17749
220,19175
350,207
350,2036
350,4002
350,5031
350,5993
350,8034
350,8035
350,8425
350,10045
350,10048
350,13976
350,17748
350,17756
350,18876
351,2036
351,4002
351,5031
351,5993
351,8035
351,8425
351,10045
351,13976
351,17756
351,18876
734,2037
734,2435
734,4003
734,6155
734,8032
734,8036
734,10046
734,10047
734,12028
734,12029
734,15964
734,15965
734,15966
734,21009
734,21888
777,2036
777,4002
777,5031
777,5993
777,8035
777,8425
777,10045
777,10048
777,13976
777,17756
1416,2036
1416,4002
1416,5031
1416,5993
1416,8035
1416,8425
1416,10045
1416,10048
1416,13976
1416,17756
1416,18876
1540,2036
1540,4002
1540,5031
1540,5993
1540,8035
1540,8425
1540,10045
1540,10048
1540,13976
1540,17756
1540,18876
1540,19175
455,19347
2266,1616
46,11687
46,16500
46,18034
759,8376
759,8381
759,10350
805,14294
1369,2021
1369,2383
1369,4310
1369,8376
1369,8377
1369,10350
1369,14864
958,5824
958,14666
958,16441
958,16442
958,17446
958,17452
1663,16243
1029,2108
1029,2118
1029,5432
1029,9476
1029,10498
1029,13434
1029,13655
1029,14053
1029,16790
316,2064
316,2693
316,3286
316,9278
316,11506
316,14583
